,title,id,all
0,Avatar,19995,jamescameron samworthington zoesaldana sigourneyweaver stephenlang michellerodriguez action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d
1,Pirates of the Caribbean: At World's End,285,goreverbinski johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
2,Spectre,206647,sammendes danielcraig christophwaltz léaseydoux ralphfiennes monicabellucci action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom
3,The Dark Knight Rises,49026,christophernolan christianbale michaelcaine garyoldman annehathaway tomhardy action crime drama thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman
4,John Carter,49529,andrewstanton taylorkitsch lynncollins samanthamorton willemdafoe thomashadenchurch action adventure sciencefiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d
5,Spider-Man 3,559,samraimi tobeymaguire kirstendunst jamesfranco thomashadenchurch tophergrace fantasy action adventure dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge
6,Tangled,38757,byronhoward zacharylevi mandymoore donnamurphy ronperlman m.c.gainey animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick
7,Avengers: Age of Ultron,99861,josswhedon robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d
8,Harry Potter and the Half-Blood Prince,767,davidyates danielradcliffe rupertgrint emmawatson tomfelton michaelgambon adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf
9,Batman v Superman: Dawn of Justice,209112,zacksnyder benaffleck henrycavill galgadot amyadams jesseeisenberg action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse
10,Superman Returns,1452,bryansinger brandonrouth kevinspacey katebosworth jamesmarsden parkerposey adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor
11,Quantum of Solace,10764,marcforster danielcraig olgakurylenko mathieuamalric judidench giancarlogiannini adventure action thriller crime killing undercover secretagent britishsecretservice
12,Pirates of the Caribbean: Dead Man's Chest,58,goreverbinski johnnydepp orlandobloom keiraknightley stellanskarsgård billnighy adventure fantasy action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger
13,The Lone Ranger,57201,goreverbinski johnnydepp armiehammer williamfichtner helenabonhamcarter jamesbadgedale action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto
14,Man of Steel,49521,zacksnyder henrycavill amyadams michaelshannon kevincostner dianelane action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse
15,The Chronicles of Narnia: Prince Caspian,2454,andrewadamson benbarnes williammoseley annapopplewell skandarkeynes georgiehenley adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld
16,The Avengers,24428,josswhedon robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse
17,Pirates of the Caribbean: On Stranger Tides,1865,robmarshall johnnydepp penélopecruz ianmcshane kevinmcnally geoffreyrush adventure action fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d
18,Men in Black 3,41154,barrysonnenfeld willsmith tommyleejones joshbrolin michaelstuhlbarg emmathompson action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory
19,The Hobbit: The Battle of the Five Armies,122917,peterjackson martinfreeman ianmckellen richardarmitage kenstott grahammctavish action adventure fantasy corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery
20,The Amazing Spider-Man,1930,marcwebb andrewgarfield emmastone rhysifans denisleary campbellscott action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger
21,Robin Hood,20662,ridleyscott russellcrowe cateblanchett maxvonsydow williamhurt markstrong action adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland
22,The Hobbit: The Desolation of Smaug,57158,peterjackson martinfreeman ianmckellen richardarmitage kenstott grahammctavish adventure fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery
23,The Golden Compass,2268,chrisweitz dakotabluerichards nicolekidman danielcraig samelliott evagreen adventure fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel
24,King Kong,254,peterjackson naomiwatts jackblack adrienbrody thomaskretschmann colinhanks adventure drama action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur
25,Titanic,597,jamescameron katewinslet leonardodicaprio francesfisher billyzane kathybates drama romance thriller shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s
